65.19.7,raspberry
226.2.734,laptop
548.84.95,raspberry
4.912.48,raspberry
777.646.1,raspberry
46.624.94,mobile
84.6.52,laptop
8.677.19,laptop
9.345.632,pc
29.988.372,mobile
3.57.196,laptop
1.53.291,mobile
3.7.15,laptop
1.145.641,pc
9.446.51,pc
5.9.124,laptop
91.99.62,laptop
94.6.46,raspberry
2.3.864,raspberry
116.672.59,raspberry
89.52.7,laptop
89.12.236,laptop
6.618.735,pc
36.85.4,pc
447.893.183,pc
58.98.9,laptop
6.3.4,pc
485.522.993,raspberry
91.41.211,raspberry
674.5.5,pc
561.31.98,mobile
993.93.94,mobile
518.31.86,raspberry
7.19.68,laptop
412.9.86,mobile
95.38.69,mobile
62.1.64,raspberry
876.3.9,laptop
5.87.263,raspberry
94.3.38,raspberry
213.78.8,mobile
551.4.863,laptop
97.848.414,raspberry
1.64.12,mobile
4.2.2,pc
84.45.416,mobile
4.53.163,pc
78.12.9,pc
51.3.21,laptop
6.889.81,laptop
343.36.27,laptop
6.279.98,laptop
514.4.1,raspberry
471.3.19,laptop
149.8.44,raspberry
78.393.794,mobile
4.874.44,mobile
23.511.3,laptop
3.69.9,pc
229.819.73,laptop
4.93.67,laptop
6.82.567,pc
57.93.331,raspberry
753.78.247,pc
5.864.932,mobile
88.925.35,raspberry
816.5.581,mobile
8.2.83,mobile
63.47.656,raspberry
637.425.884,pc
83.88.2,pc
26.6.924,raspberry
7.518.856,laptop
623.569.643,mobile
2.25.52,mobile
93.9.4,mobile
56.87.78,raspberry
5.63.13,raspberry
18.31.4,laptop
5.37.88,pc
235.8.21,mobile
582.9.999,raspberry
345.957.34,raspberry
815.664.2,raspberry
154.27.774,laptop
92.53.62,laptop
28.6.77,raspberry
82.98.56,mobile
8.98.5,pc
22.5.3,laptop
3.238.193,mobile
86.392.72,pc
256.674.9,laptop
15.311.98,pc
149.32.19,mobile
7.17.211,laptop
73.24.279,pc
2.739.46,mobile
267.81.41,raspberry
5.721.12,raspberry
5.2.38,mobile
925.69.973,laptop
65.329.39,raspberry
8.872.512,laptop
8.5.437,pc
9.594.84,laptop
29.467.93,laptop
3.769.851,laptop
119.714.8,raspberry
54.819.119,mobile
369.73.784,pc
2.982.948,laptop
47.1.6,raspberry
44.4.3,laptop
91.6.68,pc
747.5.37,raspberry
693.998.99,pc
79.72.477,laptop
9.5.5,pc
2.154.79,pc
821.5.781,pc
7.67.8,pc
11.462.55,pc
48.843.23,raspberry
9.137.761,laptop
16.3.17,raspberry
4.831.6,pc
64.6.599,mobile
143.51.667,mobile
9.565.1,pc
48.458.66,mobile
541.5.1,raspberry
58.3.15,raspberry
62.74.9,mobile
799.9.694,pc
34.949.751,laptop
94.1.38,pc
546.14.679,laptop
392.96.3,raspberry
469.41.6,pc
8.941.81,pc
2.4.96,laptop
141.5.485,raspberry
8.9.24,mobile
9.9.2,raspberry
123.24.669,pc
2.8.1,laptop
7.648.227,mobile
9.9.6,raspberry
638.988.48,mobile
3.9.61,pc
3.4.43,mobile
263.82.1,pc
3.437.6,raspberry
211.988.77,mobile
6.76.142,pc
567.3.469,pc
311.1.621,pc
9.2.232,laptop
4.4.85,mobile
46.49.17,raspberry
614.7.2,mobile
78.78.7,mobile
745.75.31,mobile
154.494.9,pc
695.46.99,mobile
3.4.11,mobile
59.821.2,raspberry
2.71.1,raspberry
88.318.68,mobile
83.12.31,laptop
375.7.84,raspberry
897.63.971,raspberry
1.9.42,laptop
8.924.3,raspberry
74.26.811,laptop
17.12.178,raspberry
847.17.73,pc
889.7.2,raspberry
316.9.315,laptop
9.2.195,mobile
7.46.8,mobile
76.92.9,mobile
18.663.599,pc
3.722.1,mobile
7.944.763,mobile
99.52.5,laptop
5.1.246,raspberry
4.893.384,pc
22.76.377,raspberry
3.5.53,pc
8.19.7,laptop
5.2.713,raspberry
31.179.25,mobile
999.92.7,laptop
862.3.57,pc
31.246.9,laptop
65.217.81,raspberry
85.592.3,laptop
353.9.43,mobile
3.6.7,raspberry
63.6.446,laptop
665.95.53,mobile
65.7.49,mobile
4.827.732,pc
248.46.8,laptop
